Block Address,Date,Fatal,Year,Month,Zip
"700 S 27th St., South Bend, IN ",2015/05/16,No,2015,May,46615
"1000 N Adams St., South Bend, IN ",2015/08/17,No,2015,Aug,46628
"1200 N Adams St., South Bend, IN ",2015/12/08,No,2015,Dec,46628
"500 N Allen St., South Bend, IN ",2015/12/26,No,2015,Dec,46616
"1400 N Bendix Dr., South Bend, IN ",2015/03/24,Yes,2015,Mar,46628
"400 N Birdsell St., South Bend, IN ",2015/09/20,Yes,2015,Sept,46628
"800 N Blaine St., South Bend, IN ",2015/10/10,No,2015,Oct,46616
"2600 N Bow Ct., South Bend, IN ",2015/12/24,No,2015,Dec,46628
"1100 N Brookfield St., South Bend, IN ",2015/05/24,No,2015,May,46628
"1000 W Bryan St., South Bend, IN ",2015/12/25,No,2015,Dec,46616
"200 E Calvert St., South Bend, IN ",2015/01/04,Yes,2015,Jan,46613
"200 E Calvert St., South Bend, IN ",2015/01/04,Yes,2015,Jan,46613
"200 N Chicago St., South Bend, IN ",2015/08/10,No,2015,Aug,46619
"1000 N Cleveland St., South Bend, IN ",2015/05/17,No,2015,May,46628
"600 W Colfax Ave., South Bend, IN ",2015/06/13,No,2015,Jun,46601
"400 E Corby St., South Bend, IN ",2015/07/28,Yes,2015,Jul,46617
"200 E Dubail St., South Bend, IN ",2015/11/09,No,2015,Nov,46613
"100 E Eckman St., South Bend, IN ",2015/05/19,No,2015,May,46614
"400 N Eddy St., South Bend, IN ",2015/01/01,No,2015,Jan,46617
"1800 W Elwood Ave., South Bend, IN ",2015/02/26,No,2015,Feb,46628
"200 E Fairview St., South Bend, IN ",2015/04/17,No,2015,Apr,46614
"500 S Falcon St., South Bend, IN ",2015/04/19,No,2015,Apr,46619
"1500 W Ford St., South Bend, IN ",2015/08/01,No,2015,Aug,46619
"2200 S Franklin St., South Bend, IN ",2015/07/11,Yes,2015,Jul,46613
"2400 W Frederickson St., South Bend, IN ",2015/06/09,Yes,2015,Jun,46628
"1900 E Goodson Ct., South Bend, IN ",2015/12/06,No,2015,Dec,46613
"1900 E Goodson Ct., South Bend, IN ",2015/12/06,No,2015,Dec,46613
"3300 S High St., South Bend, IN ",2015/12/24,Yes,2015,Dec,46614
"2700 S Hilltop Dr., South Bend, IN ",2015/01/11,No,2015,Jan,46614
"2900 S Hiltop Dr., South Bend, IN ",2015/09/22,No,2015,Sept,46614
"1100 N Huey St., South Bend, IN ",2015/06/17,No,2015,Jun,46628
"1600 N Huey St., South Bend, IN ",2015/03/03,No,2015,Mar,46628
"1600 N Huey St., South Bend, IN ",2015/05/28,No,2015,May,46628
"100 N Illinois St., South Bend, IN ",2015/07/21,No,2015,Jul,46619
"100 N Illinois St., South Bend, IN ",2015/12/23,No,2015,Dec,46619
"1000 W Indiana Ave., South Bend, IN ",2015/07/29,No,2015,Jul,46613
"1200 N Johnson St., South Bend, IN ",2015/03/30,No,2015,Mar,46628
"400 S Kentucky St., South Bend, IN ",2015/11/15,No,2015,Nov,46619
"1300 W Kinyon St., South Bend, IN ",2015/08/27,No,2015,Aug,46616
"1300 W Kinyon St., South Bend, IN ",2015/09/05,No,2015,Sept,46616
"300 N Lafayette Blvd., South Bend, IN ",2015/08/01,Yes,2015,Aug,46637
"300 N Lafayette Blvd., South Bend, IN ",2015/08/01,No,2015,Aug,46637
"400 N Lafayette St., South Bend, IN ",2015/12/12,No,2015,Dec,46601
"200 S Lake St., South Bend, IN ",2015/04/24,No,2015,Apr,46619
"700 S Liberty St., South Bend, IN ",2015/01/29,No,2015,Jan,46619
"1100 Lincoln Way West, South Bend, IN ",2015/04/27,No,2015,Apr,46616
"300 E Luelde St., South Bend, IN ",2015/06/20,No,2015,Jun,46614
"300 N Manchester Dr., South Bend, IN ",2015/05/17,Yes,2015,May,46615
"1400 S Marietta St., South Bend, IN ",2015/08/24,No,2015,Aug,46613
"1300 N Meade St., South Bend, IN ",2015/05/08,No,2015,May,46628
"900 N Meade St., South Bend, IN ",2015/07/19,No,2015,Jul,46628
"1600 S Michigan St., South Bend, IN ",2015/09/20,No,2015,Sept,46613
"2000 S Michigan St., South Bend, IN ",2015/01/25,No,2015,Jan,46613
"1700 N O'Brien St., South Bend, IN ",2015/10/24,No,2015,Oct,46628
"1700 N O'Brien St., South Bend, IN ",2015/10/24,No,2015,Oct,46628
"1400 N Olive St., South Bend, IN ",2015/03/02,Yes,2015,Mar,46628
"300 N Olive St., South Bend, IN ",2015/04/19,No,2015,Apr,46628
"400 N Olive St., South Bend, IN ",2015/10/15,No,2015,Oct,46628
"400 N Olive St., South Bend, IN ",2015/10/15,No,2015,Oct,46628
"2000 S Miami St., South Bend, IN ",2015/07/19,No,2015,Jul,46613
"800 S Olive St., South Bend, IN ",2015/09/06,Yes,2015,Sept,46619
"3600 N Portage Ave., South Bend, IN ",2015/11/10,No,2015,Nov,46628
"2600 W Prairie Ave., South Bend, IN ",2015/07/06,No,2015,Jul,46614
"2500 W Prast St., South Bend, IN ",2015/02/25,Yes,2015,Feb,46628
"1200 W Queen St., South Bend, IN ",2015/08/29,Yes,2015,Aug,46616
"1000 N Sherman St., South Bend, IN ",2015/11/11,No,2015,Nov,46616
"800 N Sherman St., South Bend, IN ",2015/12/06,No,2015,Dec,46616
"2400 Kenwood St., South Bend, IN ",2015/10/05,No,2015,Oct,46628
"400 N Studebaker St., South Bend, IN ",2015/08/07,No,2015,Aug,46628
"500 N Studebaker St., South Bend, IN ",2015/08/09,No,2015,Aug,46628
"1200 W VanBuren St., South Bend, IN ",2015/03/26,No,2015,Mar,46616
"500 S Warren St., South Bend, IN ",2015/03/25,No,2015,Mar,46619
"700 Lincoln Way West, South Bend, IN ",2015/12/03,No,2015,Dec,46544
"1600 W Western Ave., South Bend, IN ",2015/04/05,No,2015,Apr,46619
"1600 W Western Ave., South Bend, IN ",2015/04/05,No,2015,Apr,46619
"1600 W Western Ave., South Bend, IN ",2015/09/20,Yes,2015,Sept,46619
"3400 W Western Ave., South Bend, IN ",2015/07/26,No,2015,Jul,46619
"3500 W Western Ave., South Bend, IN ",2015/11/30,No,2015,Nov,46619
"3900 W Western Ave., South Bend, IN ",2015/12/04,No,2015,Dec,46619
"4500 W Western Ave., South Bend, IN ",2015/01/29,No,2015,Jan,46619
"1600 S Williams St., South Bend, IN ",2015/05/03,No,2015,May,46613
"1600 S Williams St., South Bend, IN ",2015/05/03,No,2015,May,46613
"1600 S Williams St., South Bend, IN ",2015/05/03,No,2015,May,46613
"1600 S Williams St., South Bend, IN ",2015/05/03,No,2015,May,46613
"1000 W Yukon St., South Bend, IN ",2015/08/14,Yes,2015,Aug,46616
"500 S 25th St., South Bend, IN ",2016/10/19,Yes,2016,Oct,46615
"1300 S 31st. St., South Bend, IN ",2016/12/11,Yes,2016,Dec,46615
"600 S 36th St., South Bend, IN ",2016/10/10,No,2016,Oct,46615
"700 N Allen St., South Bend, IN ",2016/11/13,No,2016,Nov,46616
"1500 N Anderson Ave., South Bend, IN ",2016/01/18,Yes,2016,Jan,46616
"900 E Bowman St., South Bend, IN ",2016/08/19,No,2016,Aug,46613
"900 E Bowman St., South Bend, IN ",2016/08/20,No,2016,Aug,46613
"500 E Broadway St., South Bend, IN ",2016/05/28,Yes,2016,May,46601
"700 E Broadway St., South Bend, IN ",2016/03/12,No,2016,Mar,46601
"4000 S Brookton Dr., South Bend, IN ",2016/04/05,No,2016,Apr,46614
"1200 E Cedar St., South Bend, IN ",2016/09/26,Yes,2016,Sept,46617
"1100 N Cleveland Ave., South Bend, IN ",2016/09/23,No,2016,Sept,46628
"1100 N Cleveland Ave., South Bend, IN ",2016/09/23,No,2016,Sept,46628
"1100 N Cleveland Ave., South Bend, IN ",2016/09/23,No,2016,Sept,46628
"200 W Colfax St., South Bend, IN ",2016/05/31,Yes,2016,May,46601
"1200 N College St., South Bend, IN ",2016/07/02,No,2016,Jul,46628
"1000 N Diamond Ave., South Bend, IN ",2016/04/23,No,2016,Apr,46628
"900 N Diamond Ave., South Bend, IN ",2016/07/03,No,2016,Jul,46628
"300 E Donald St., South Bend, IN ",2016/07/24,No,2016,Jul,46613
"1300 N Elmer St., South Bend, IN ",2016/12/02,No,2016,Dec,46628
"1700 N Elmer St., South Bend, IN ",2016/08/01,No,2016,Aug,46628
"2100 W Elwood St., South Bend, IN ",2016/07/08,No,2016,Jul,46628
"2300 W Elwood Ave., South Bend, IN ",2016/10/16,No,2016,Oct,46628
"2300 W Elwood Ave., South Bend, IN ",2016/10/16,No,2016,Oct,46628
"1400 W Fassnacht Ave., South Bend, IN ",2016/06/24,Yes,2016,Jun,46628
"2400 W Flint Ct., South Bend, IN ",2016/04/10,Yes,2016,Apr,46628
"400 N Frances St., South Bend, IN ",2016/06/28,No,2016,Jun,46617
"200 N Gladstone St., South Bend, IN ",2016/12/20,No,2016,Dec,46619
"500 S Harris St., South Bend, IN ",2016/11/10,No,2016,Nov,46619
"3300 S High St., South Bend, IN ",2016/10/16,No,2016,Oct,46614
"1100 N Huey St., South Bend, IN ",2016/04/15,No,2016,Apr,46628
"1700 W Humbolt St., South Bend, IN ",2016/10/20,No,2016,Oct,46628
"700 E Indiana Ave., South Bend, IN ",2016/12/05,No,2016,Dec,46613
"300 N Johnson St., South Bend, IN ",2016/05/17,No,2016,May,46628
"2500 W Kenwood Ave., South Bend, IN ",2016/05/21,No,2016,May,46628
"800 S Kosciuszko St., South Bend, IN ",2016/09/14,No,2016,Sept,46619
"1000 N Lawndale St., South Bend, IN ",2016/08/27,Yes,2016,Aug,46628
"1100 S Main St., South Bend, IN ",2016/12/03,Yes,2016,Dec,46601
"4400 W Meadow Ln., South Bend, IN ",2016/10/06,Yes,2016,Oct,46619
"2000 S Michigan St., South Bend, IN ",2016/08/07,No,2016,Aug,46613
"2100 S Michigan St., South Bend, IN ",2016/07/13,No,2016,Jul,46613
"2100 S Michigan St., South Bend, IN ",2016/07/26,No,2016,Jul,46613
"200 E Milton St., South Bend, IN ",2016/06/08,No,2016,Jun,46613
"1000 N O'Brien St., South Bend, IN ",2016/04/11,No,2016,Apr,46628
"1100 N O'Brien St., South Bend, IN ",2016/06/25,No,2016,Jun,46628
"400 N Olive St., South Bend, IN ",2016/07/04,No,2016,Jul,46628
"Prast & Olive St., South Bend, IN ",2016/10/19,No,2016,Oct,46628
"900 N Patty Ln., South Bend, IN ",2016/01/15,No,2016,Jan,46615
